video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=0Bkpr8o3zDw&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,LGBTQ nightclubs call for accountability after alleged raids | FOX 13 Seattle,4.6K,1 day,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:16:52.092504
/watch?v=xPVMJj88Q7g&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Man opposes bill banning child marriage in Washington | FOX 13 Seattle,3.7K,1 day,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:16:52.095854
/watch?v=UUbz-lEng0g&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,High school students walk out in response to shooting that left 15-year-old dead,5K,2 days,High school students in West Seattle walked out of class on Monday in protest. The demonstration was in response to a deadly ...,2024-02-01 10:16:52.109943
/watch?v=b3HQE8an_qg&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,People share concerns over inspections of Seattle gay bars during Liquor and Cannabis Board meeting,710,8 hours,"At a board meeting Tuesday, the Washington Liquor and Cannabis Control Board (LCB) addressed outrage from the LGBTQ+ ...",2024-02-01 10:16:52.113904
/watch?v=4Of4UC0jQ2s&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Migrants seeking asylum pleading for dignified housing | FOX 13 Seattle,30K,1 day,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:16:52.117523
/watch?v=4gwW1d6JKF8&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,Seahawks hire Ravens DC Mike Macdonald as head coach | FOX 13 Seattle,1.8K,6 hours,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:16:52.120345
/watch?v=QwEF0JzytsY&pp=ygUMc2VhdHRsZSBuZXdz,/@RichEisenShow,The Rich Eisen Show,Rich Eisen Reacts to the Seahawks Hiring Ravens DC Mike MacDonald to Be Their New Head Coach,90K,15 hours,Rich Eisen weighs in on the Seahawks making Ravens DC Mike MacDonald the youngest (36) head coach in the NFL. Tune in to ...,2024-02-01 10:16:52.124297
/watch?v=VHBBEHGbE-A&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Liquor Control Board addresses outrage over potential 'lewd conduct violations' at Seattle gay bars,4.5K,1 day,The state agency said it did routine checks over the weekend and found some clothing choices that could have led to violations.,2024-02-01 10:16:58.564149
/watch?v=NPp-OuryyXQ&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,"Shots fired in Everett standoff, suspect barricaded | FOX 13 Seattle",7.4K,6 hours,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:16:58.567114
/watch?v=5e6xiDRzNwQ&pp=ygUMc2VhdHRsZSBuZXdz,/@TopBillinSports,Top Billin',Study: Seahawks hit a potential GRAND SLAM hiring the FILTHY Mike Macdonald! | Scheme WIZARD!,13K,13 hours,Top Billin' reacts to and provides a little insight into new Seattle Seahawks HC Mike Macdonald as he's very familiar with having ...,2024-02-01 10:16:58.576080
