video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=UVj2anJcozc&pp=ygUHdXMgbmV3cw%3D%3D,/@ForbesBreakingNews,Forbes Breaking News,JUST IN: Trump Reacts To Killing Of 3 U.S. Troops In Jordan By Iran-Backed Drone,146K,13 hours,"At a press briefing, former President Trump reacted to the deadly drone strike on three U.S. troops in Jordan. Fuel your success ...",2024-02-01 10:22:21.139901
/watch?v=e95EECYkwWQ&pp=ygUHdXMgbmV3cw%3D%3D,/@livenowfox,LiveNOW from FOX,Israel-Hamas war: Iran threatens to respond to any US strikes after troops killed | LiveNOW from FOX,225K,17 hours,ran has threatened to “decisively respond” to any U.S. attack on the Islamic Republic following President Joe Biden linking Tehran ...,2024-02-01 10:22:21.142078
/watch?v=Vijx5SqvZEo&pp=ygUHdXMgbmV3cw%3D%3D,/@FoxNews,Fox News,BREAKING: US carries out ‘self-defense’ strike in Yemen,149K,9 hours,Laura Ingraham details the breaking news about the U.S. carrying out a 'self-defense' strike in Yemen on 'The Ingraham Angle.,2024-02-01 10:22:21.146725
/watch?v=703OMlknCi4&pp=ygUHdXMgbmV3cw%3D%3D,/@BBCNews,BBC News,American mercenaries hired by UAE to kill in Yemen | BBC News,1.1M,9 days,"American mercenaries, hired by the UAE to kill in Yemen, have spoken candidly on camera for the first time in an investigation by ...",2024-02-01 10:22:21.149498
/watch?v=txLMb3eTRHQ&pp=ygUHdXMgbmV3cw%3D%3D,/@ABCNews,ABC News,US preps retaliatory strikes for drone attack by Iran-backed militants,149K,1 day,"The U.S. response to a drone attack that killed three American service members in Jordan will be carried out ""over the course of ...",2024-02-01 10:22:21.152294
/watch?v=8SQFhxVnzII&pp=ygUHdXMgbmV3cw%3D%3D,/@FoxNews,Fox News,"MSNBC host drops F-bomb on hot mic, knocking Biden",717K,1 day,Fox News contributor Joey Jones joined 'America's Newsroom' to discuss the Biden administration's foreign policy posturing ...,2024-02-01 10:22:21.155185
/watch?v=eyleuJodBjw&pp=ygUHdXMgbmV3cw%3D%3D,/@CBSEveningNews,CBS Evening News,An inside look at U.S. Navy ships tasked with securing the Red Sea,16K,9 hours,"""CBS Evening News"" anchor and managing editor Norah O'Donnell was taken aboard the aircraft carrier USS Eisenhower for an ...",2024-02-01 10:22:21.157668
/watch?v=8yIsjUXk7AQ&pp=ygUHdXMgbmV3cw%3D%3D,/@ABCNews,ABC News,Moment Mark Zuckerberg apologizes to families of children harmed online,217K,16 hours,"Sen. Josh Hawley, during a hearing on child safety, called on Meta CEO Mark Zuckerberg to directly apologize to the families in ...",2024-02-01 10:22:21.159923
/watch?v=anm8Edd-yGI&pp=ygUHdXMgbmV3cw%3D%3D,/@FoxNews,Fox News,Biden has reached decision on Iranian response after killing of US soldiers,61K,22 hours,"Sen. Ted Budd, R-N.C., discusses Biden's remark that he has planned a response to Iran-backed attacks on U.S. forces, how the ...",2024-02-01 10:22:21.162507
/watch?v=OPbP3XyTzD0&pp=ygUHdXMgbmV3cw%3D%3D,/@FoxNews,Fox News,Armed vigilante group patrols US side of southern border,378K,23 hours,Arizona Border Recon leader Tim Foley tells 'Jesse Watters Primetime' how U.S. citizens are taking action to patrol and police the ...,2024-02-01 10:22:21.166668
/watch?v=-KHZBZc_MsI&pp=ygUHdXMgbmV3cw%3D%3D,/@thehill,The Hill,"Biden Weighs IRAN REVENGE, Puts US Troops in Iraq 'ON STANDBY' To Jump Into Israel-Hamas War: Report",73K,18 hours,Briahna Joy Gray and Robby Soave react to President Joe Biden's response to the attack on U.S. troops in Iran. #Iran #Biden ...,2024-02-01 10:22:21.169233
/watch?v=9MRm2PG4UAo&pp=ygUHdXMgbmV3cw%3D%3D,/@NBCNews,NBC News,"Guns, explosives and a celebrity hitlist found in New York apartment",82K,1 day,"Two brothers are facing charges after guns, explosives and a celebrity hitlist were discovered in their Queens home. WNBC's ...",2024-02-01 10:22:21.171829
/watch?v=ZGLFYC54q9M&pp=ygUHdXMgbmV3cw%3D%3D,/@KTLA5,KTLA 5,House Republicans vote along party line toward Mayorkas impeachment,156K,1 day,House Republicans voted along party lines after midnight Wednesday to move toward impeaching Homeland Security Secretary ...,2024-02-01 10:22:21.174329
/watch?v=0nsGUft2uN8&pp=ygUHdXMgbmV3cw%3D%3D,/@KCRA,KCRA 3,5 arrested in California desert killings,139K,1 day,The six men found dead at a remote dirt crossroads in the Southern California desert last week were likely shot to death in a ...,2024-02-01 10:22:21.178274
/watch?v=8aSCe34pQbE&pp=ygUHdXMgbmV3cw%3D%3D,/@CBSNews,CBS News,"Latest on deadly drone strike in Jordan, Biden's remarks on expected U.S. response",103K,1 day,President Biden told reporters Tuesday that he has decided how the U.S. will respond to the attack at a base in Jordan Sunday ...,2024-02-01 10:22:29.061881
/watch?v=L1ba6TNvqNI&pp=ygUHdXMgbmV3cw%3D%3D,/@CBSNews,CBS News,"Several major U.S. companies announce layoffs, office mandates",269K,1 day,"The nation's unemployment rate is low, but some big companies are laying off workers and requiring people to return to the office.",2024-02-01 10:22:29.070615
/watch?v=6qLszNk9ZEU&pp=ygUHdXMgbmV3cw%3D%3D,/@NBCNews,NBC News,Former CIA Director: U.S. response to strike in Jordan requires a ‘very significant response’,142K,2 days,The White House is weighing its response options after three U.S. soldiers were killed and several more were injured in a strike ...,2024-02-01 10:22:29.076784
/watch?v=i9mWAshwvSE&pp=ygUHdXMgbmV3cw%3D%3D,/@TODAY,TODAY,Biden says US 'shall respond' after 3 troops killed in drone attack,46K,2 days,Tensions are escalating after three American soldiers were killed in a drone strike in Jordan with dozens more injured. The U.S. ...,2024-02-01 10:22:29.082993
/watch?v=W8D4C2KAajA&pp=ygUHdXMgbmV3cw%3D%3D,/@nypost,New York Post,FBI Director Christopher Wray explains China's threat to U.S. Cyber Security,18K,11 hours,FBI Director Christopher Wray and other officials testify before the House Select Committee on US-China competition regarding ...,2024-02-01 10:22:29.096104
/watch?v=s4nA61FWGjY&pp=ygUHdXMgbmV3cw%3D%3D,/@DemocracyNow,Democracy Now!,"Top U.S. & World Headlines — January 30, 2024",124K,1 day,Democracy Now! is an independent global news hour that airs on over 1500 TV and radio stations Monday through Friday. Watch ...,2024-02-01 10:22:29.098759
/watch?v=0ySWkerTqN4&pp=ygUHdXMgbmV3cw%3D%3D,/@CBCNews,CBC News,Iran allegedly hired Canadian citizens to conduct killings on U.S. soil,135K,2 days,"Two Canadians planned to conduct assassinations in the U.S. on behalf of Iran's intelligence services, according to allegations in ...",2024-02-01 10:22:29.102249
/watch?v=UTUYPnX6BlE&pp=ygUHdXMgbmV3cw%3D%3D,/@BBCNews,BBC News,Joe Biden says he has decided US response to Jordan attack | BBC News,267K,1 day,President Joe Biden says he has decided how the US will respond to a drone strike that killed three American troops in Jordan at ...,2024-02-01 10:22:29.105582
/watch?v=u9miN82rGkw&pp=ygUHdXMgbmV3cw%3D%3D,/@markets,Bloomberg Television,US Will Respond to Attack on Troops in Jordan: Pentagon,35K,2 days,"Major General Patrick Ryder, Department of Defense Press Secretary, says ""there will be a response"" to the deadly attack on ...",2024-02-01 10:22:29.110348
/watch?v=V71vY0Xfgw4&pp=ygUHdXMgbmV3cw%3D%3D,/@FoxNews,Fox News,What are U.S. engineering reservists doing in Jordan?,90K,1 day,Ret. U.S. Army Lt. Col. Daniel Davis discusses the United States' presence in Iraq and Syria on 'The Ingraham Angle.' #foxnews ...,2024-02-01 10:22:29.118573
/watch?v=P213qczTSyo&pp=ygUHdXMgbmV3cw%3D%3D,/@BBCNews,BBC News,US says “we do not want war with Iran” after troops killed | BBC News,372K,2 days,The United States has said it does not seek a war with Iran but will “protect itself” and “respond appropriately” following a drone ...,2024-02-01 10:22:29.123563
/watch?v=NiXResg73w0&pp=ygUHdXMgbmV3cw%3D%3D,/@ABCNews,ABC News,"LIVE: ABC News Live - Monday, January 29 | ABC News",135K,Streamed 2 days,Subscribe to ABC News on YouTube: https://abcnews.visitlink.me/59aJ1G Watch 24/7 coverage of breaking news and live events ...,2024-02-01 10:22:29.127024
/watch?v=lOIXKxCA_h8&pp=ygUHdXMgbmV3cw%3D%3D,/@ABCNews,ABC News,What the U.S. response could look like after deadly attack on an American base in Jordan,24K,1 day,President Biden has vowed to retaliate after three U.S. soldiers were killed in the attack on Sunday by Iran-backed militants.,2024-02-01 10:22:29.130172
/watch?v=lGGWZob4bIk&pp=ygUHdXMgbmV3cw%3D%3D,/@indiatoday,India Today,Missing Indian Student Found Dead On US's Purdue University Campus | India Today News,91K,2 days,#unitedstates #usnews #georgia #indiannews #joebiden #indiatoday Subscribe to India Today for NEW VIDEOS EVERY DAY ...,2024-02-01 10:22:29.134025
/watch?v=F90ovH9Qthc&pp=ygUHdXMgbmV3cw%3D%3D,/@FoxBusiness,Fox Business,US is not taking Iran attacks seriously: Military expert,108K,1 day,Retired U.S. Army Lt. Gen. Keith Kellogg discusses how the US should respond to Iran after three Americans were killed by drone ...,2024-02-01 10:22:29.143744
/watch?v=7ICbz0rJwYw&pp=ygUHdXMgbmV3cw%3D%3D,/@NBCNews,NBC News,Biden vows to retaliate after deaths of U.S. soldiers in Jordan,192K,3 days,"NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news ...",2024-02-01 10:22:29.147025
/watch?v=hVW2UDib5dI&pp=ygUHdXMgbmV3cw%3D%3D,/@FoxNews,Fox News,This case is going to ‘implode’: Leo Terrell,135K,10 hours,Civil rights attorney and Fox News contributor Leo Terrell discusses the investigation into Fulton County DA Fani Willis and ...,2024-02-01 10:22:29.150122
/watch?v=45UgKtKWrWE&pp=ygUHdXMgbmV3cw%3D%3D,/@fox26houston,FOX 26 Houston,President Biden pressured to retaliate after US soldiers are killed in attack,78K,2 days,"President Biden is facing mounting pressure to take action against Iran. Reporting from Washington, FOX's Rebekah Castor ...",2024-02-01 10:22:29.153011
/watch?v=uwG0bYYvEUE&pp=ygUHdXMgbmV3cw%3D%3D,/@wsj,The Wall Street Journal,Ukraine War Aid: Where Have U.S. Funds Gone and Why Has Support Stalled? | WSJ,517K,2 days,The political stalemate in Washington is now impairing Ukraine's efforts to repel Russia's invasion. House Republicans say they ...,2024-02-01 10:22:29.156608
/watch?v=YwXwjG9093E&pp=ygUHdXMgbmV3cw%3D%3D,/@TODAY,TODAY,Biden vows to shut down border if Congress locks immigration deal,320K,2 days,The White House and a group of senators are close to a bipartisan border security deal that includes tougher border measures ...,2024-02-01 10:22:29.160268
