video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=WP7oGJ283No&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,"ABC World News Tonight with David Muir Full Broadcast - Jan. 31, 2024",194K,7 hours,Selina Wang has details on the combative hearing where Senators grilled tech CEOs over the threats social media platforms pose ...,2024-02-01 10:24:20.727981
/watch?v=e95EECYkwWQ&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@livenowfox,LiveNOW from FOX,Israel-Hamas war: Iran threatens to respond to any US strikes after troops killed | LiveNOW from FOX,225K,17 hours,ran has threatened to “decisively respond” to any U.S. attack on the Islamic Republic following President Joe Biden linking Tehran ...,2024-02-01 10:24:20.730912
/watch?v=UVj2anJcozc&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ForbesBreakingNews,Forbes Breaking News,JUST IN: Trump Reacts To Killing Of 3 U.S. Troops In Jordan By Iran-Backed Drone,146K,13 hours,"At a press briefing, former President Trump reacted to the deadly drone strike on three U.S. troops in Jordan. Fuel your success ...",2024-02-01 10:24:20.733465
/watch?v=VfRO83qBBiU&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@5news,5NEWS,Biden reveals plan for U.S. response to Jordan bombing,27K,11 hours,President Biden says he has a plan to respond to the drone strike that killed three Americans. Subscribe to 5NEWS for exclusive ...,2024-02-01 10:24:20.735814
/watch?v=8B63SfpaaYw&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,Biden prepares to retaliate for deadly drone response in Jordan,43K,18 hours,"ABC News is the home to the #1 evening newscast “World News Tonight” with David Muir, “Good Morning America,” “20/20,” ...",2024-02-01 10:24:20.739694
/watch?v=s3dyzcMUBJc&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@CBSNews,CBS News,U.S. strikes Houthi anti-aircraft missile near Yemen,175K,14 hours,"The U.S. struck a Houthi anti-aircraft missile that officials say was threatening an American aircraft flying over Yemen, according to ...",2024-02-01 10:24:28.911607
/watch?v=jcUI5T91NMc&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,"ABC World News Tonight with David Muir Full Broadcast - Jan. 30, 2024",353K,1 day,Martha Raddatz has details on the U.S. preparation for retaliatory strikes in response to the drone attack that killed three American ...,2024-02-01 10:24:28.915244
/watch?v=136nbpRGSD0&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@WHAS11News,WHAS11,Biden prepares to retaliate after deadly drone response in Jordan,15K,17 hours,The drone attack killed three U.S. service members in Jordan. ---------------------------------------------------------------------- READ MORE ...,2024-02-01 10:24:28.918022
/watch?v=XaNPVyOW9kw&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@nypost,New York Post,"Israeli commandos dressed as Muslim women & doctors storm West Bank hospital, killing 3 terrorists",293K,1 day,This is the moment heavily armed Israeli commandos disguised as Muslim women and doctors raided a West Bank hospital early ...,2024-02-01 10:24:28.920593
/watch?v=dMuVMa3bdhI&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@thenewsagents,The News Agents,Why is everyone starting to talk about World War III? | The News Agents,16K,23 hours,The Telegraph editor began the morning by asking how 'everyday British life would change in a global conflict'. Trump has ...,2024-02-01 10:24:28.923156
/watch?v=RjNJ_suX-E0&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,Looming counterattack in the Middle East,101K,1 day,"ABC News is the home to the #1 evening newscast “World News Tonight” with David Muir, “Good Morning America,” “20/20,” ...",2024-02-01 10:24:28.925859
/watch?v=vkExK13mtBI&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,"LIVE: ABC News Live - Wednesday, January 31",104K,Streamed 6 hours,"ABC News is the home to the #1 evening newscast “World News Tonight” with David Muir, “Good Morning America,” “20/20,” ...",2024-02-01 10:24:28.928700
/watch?v=4_q01hLtNY0&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,"Meet the 'Gringo Hunters,' the Mexican task force that catches US fugitives",39K,3 days,"ABC News is the home to the #1 evening newscast “World News Tonight” with David Muir, “Good Morning America,” “20/20,” ...",2024-02-01 10:24:28.931327
/watch?v=29iNsqcWgbg&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@BBCNews,BBC News,Russia and Ukraine exchange hundreds of prisoners | BBC News,122K,16 hours,Russia and Ukraine say they have exchanged hundreds of captured soldiers - the first such swap since the crash of a Russian ...,2024-02-01 10:24:28.934070
/watch?v=_mETXKV3wnw&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,"ABC World News Tonight with David Muir Full Broadcast - Jan. 29, 2024",217K,2 days,Martha Raddatz has new details on the deadly drone attack on a U.S. base in Jordan as sources say the drone may have slipped ...,2024-02-01 10:24:28.936608
/watch?v=txLMb3eTRHQ&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,US preps retaliatory strikes for drone attack by Iran-backed militants,149K,1 day,"ABC News is the home to the #1 evening newscast “World News Tonight” with David Muir, “Good Morning America,” “20/20,” ...",2024-02-01 10:24:36.979324
/watch?v=0n94ADJgox4&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@TheYoungTurks,The Young Turks,Fox Host Blames DEI For Deaths Of 3 U.S. Troops,164K,1 day,Fox Business host Maria Bartiromo blamed DEI policies for the 3 U.S. servicemembers killed during a drone strike in Jordan.,2024-02-01 10:24:36.981990
/watch?v=2mRBV4KLbUk&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@CBSNews,CBS News,Pentagon sends more air defense systems to Jordan military base,103K,1 day,The Pentagon is sending additional air defenses to the military base in Jordan where a drone strike killed three U.S. service ...,2024-02-01 10:24:36.984554
/watch?v=mW0B8L1_gOg&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@NBCNews,NBC News,Biden says he has decided how to respond to deadly drone attack on U.S. base,60K,1 day,"Three days after the drone attack that killed three U.S. soldiers at a base in Jordan, President Biden said he has reached a ...",2024-02-01 10:24:36.990091
/watch?v=n8TAUdlGG84&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@Firstpost,Firstpost,Will Biden Go to War? | 3 US Troops Killed by Iran-backed Militias | Vantage with Palki Sharma,190K,2 days,Will Biden Go to War? | 3 US Troops Killed by Iran-backed Militias | Vantage with Palki Sharma Three American troops were killed ...,2024-02-01 10:24:36.993282
/watch?v=RHUT2PlS89I&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@WCNC,WCNC,Biden blames Iran for drone attack that killed 3 US service members,6.8K,20 hours,President Joe Biden on Tuesday spoke with the families of the three American service members killed Sunday in a drone attack in ...,2024-02-01 10:24:36.996396
/watch?v=GfdF3iIwoX4&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,First-hand look at Ukraine's thermal 'invisibility cloaks',57K,2 days,"ABC News is the home to the #1 evening newscast “World News Tonight” with David Muir, “Good Morning America,” “20/20,” ...",2024-02-01 10:24:36.999520
/watch?v=vGf4-u4vRVc&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ForbesBreakingNews,Forbes Breaking News,Why Was The Drone That Killed Three US Troops Not Shot Down?,98K,2 days,Pentagon Deputy Press Secretary Sabrina Singh was asked why the drone that attacked a US base in Jordan was not shot down.,2024-02-01 10:24:37.004112
